MJD,RA,Dec
57616,16.197499,-23.99343
57617,16.231674,-24.07416
57618,16.266328,-24.15418
57619,16.30145,-24.2334
57620,16.337035,-24.31173
57621,16.373073,-24.38909
57622,16.409558,-24.46538
57623,16.446483,-24.54054
57624,16.483844,-24.61448
57625,16.521634,-24.68712
57626,16.559848,-24.75838
57627,16.59848,-24.8282
57628,16.637526,-24.89649
57629,16.676979,-24.96318
57630,16.716833,-25.0282
57631,16.757083,-25.09148
57632,16.797722,-25.15294
