no,ra,dec,U,B,V,Teff,Mv,SpecType ,
112,94.7576775,17.32526194,5.95,6.25,6.32,11091.76385,-0.635124471,b'B9IIIpSi(Cr)',
146,78.44690167,0.560414167,--,7.763,6.323,3886.04339,-1.332974952,b'K4III',
41,80.87943958,5.323086389,--,6.455,6.334,8829.582283,1.650253967,b'hA3VamA1_lB',
229,92.75737708,18.13046194,--,7.7,6.335,4008.549674,-2.380329372,b'K1II',
84,74.54546583,-2.212735556,--,6.435,6.338,9056.738582,0.544327784,b'A1V',
60,82.14488958,13.67897861,--,6.502,6.34,8469.263347,1.215021138,b'A4V',
72,96.2198775,16.05712944,--,7.39,6.35,4648.707153,0.795919938,b'G9III',
79,81.81417583,2.341202222,--,7.32,6.35,4815.940272,0.654952182,b'K0III',
221,79.89702667,-1.411911111,5.5,6.24,6.35,11743.77545,-1.447895028,b'B3V',
50,93.97488708,1.169078889,--,6.792,6.357,6699.187701,1.440077612,b'F3V',
131,94.099135,17.18160667,--,7.95,6.37,3677.014736,-1.149643733,b'K5II',
177,82.00612542,1.29825,5.52,6.212,6.38,12859.62466,-1.444841426,b'B2/3V',
134,82.2371225,-3.307428889,--,6.38,6.382,10150.25154,-0.55938349,b'B9V',
222,83.84542167,-5.416064444,5.37,6.3,6.39,11407.33602,-1.244171672,b'O9.5IVp',
52,81.66178958,6.868658056,--,6.387,6.399,10277.43294,1.400367765,b'B9V',
108,79.1709975,1.947327222,--,6.402,6.408,10200.70209,0.170124639,b'A0V',
228,83.89960125,-3.252838611,5.64,6.28,6.41,12103.29467,-1.133612009,b'B3III',
123,80.11003167,-5.367528056,6,6.364,6.412,10766.38108,-0.836858055,b'B8II',
34,74.03739542,7.904670278,--,6.8,6.42,6988.564151,2.529156964,b'F5',
138,81.40207625,-1.491293333,--,6.256,6.42,12775.02198,-1.263970263,b'B5II/III',
76,80.1823425,2.544779444,--,7.48,6.43,4625.809234,0.940830475,b'G8III',
116,83.51030083,-7.023750833,--,7.57,6.45,4471.937171,0.847400268,b'K0III',
128,93.24821958,6.016257778,--,8.063,6.459,3643.500801,-1.003339623,b'M2III',
105,84.87850542,-9.706628611,--,6.375,6.481,11674.71448,0.036829222,b'B8II',
90,73.99313333,5.399023611,--,6.52,6.485,9708.635441,0.904130326,b'A0V',
73,82.42336875,-0.802546667,--,6.74,6.49,7795.184395,1.378137735,b'A5III/IV',
187,84.06261583,-5.647920556,5.52,6.34,6.51,12902.39513,-1.366816448,b'B3III/IV',
94,75.50009458,1.608865,--,6.411,6.511,11572.82414,0.188635374,b'B8V',
98,85.19246625,-10.40866528,5.88,6.36,6.52,12691.65978,0.184179339,b'B9III',
139,85.19246625,-10.40866528,5.88,6.36,6.52,12691.65978,0.184179339,b'B9III',
184,80.33044333,4.011949444,--,6.41,6.52,11743.77545,-1.628545109,b'B7Ib/II',
183,83.84111125,-4.494173333,5.66,6.43,6.56,12103.30354,-1.217043929,b'B2/3V',
178,93.94588917,4.2836375,5.82,6.456,6.614,12650.43992,-0.930943581,b'B3IV',
210,83.82190583,-5.387936111,6.08,6.79,6.7,9125.456975,-1.50842199,b'B1.5Vp',
211,83.81593917,-5.387315,5.87,6.75,6.73,9882.422762,-1.159760657,b'B0V',
157,80.57768708,-8.666119722,10.28,8.57,6.77,3391.769352,-1.141230347,b'S4,1'
83,85.36161542,3.778037222,--,7.96,6.82,4429.929503,0.929433888,b'K0III',
9,93.00236167,6.783071389,7.632,7.496,6.839,5752.967504,4.901669228,b'G4V',
170,85.23487667,-1.507182222,5.96,6.82,6.96,12292.51685,-1.010452112,b'B2V',
30,73.68189042,12.35219417,--,7.712,7.13,6038.928677,3.296948069,b'F8',
225,78.79949,1.556148333,--,8.64,7.19,3870.295191,-1.445804417,b'K2III',
232,82.25371792,-4.692433889,--,10.44,7.2,2260.232003,-0.906920681,b'M6.5-7.5e',
19,79.42075125,7.353348056,--,7.97,7.33,5815.214152,4.025934962,b'G0',
111,84.02597417,-7.396476944,--,7.31,7.38,11091.76385,0.564745248,b'B8V',
